transaction_id,transaction_date,hour,amount_usd,category,country,payment_method,card_type,device_type,browser,account_age_days,tx_last_24h,n_items,addr_mismatch,form_fill_time_sec,email_domain,vpn_detected,is_fraud
TXN1008362,2023-01-08 17:36:00,17,92.32,Software,US,credit_card,Visa,desktop,Unknown,384,1,2,0,155,icloud.com,0,0
TXN1001513,2023-03-31 13:14:00,13,502.16,Luxury,UK,prepaid_card,Mastercard,desktop,Firefox,1754,2,3,0,90,yahoo.com,0,0
TXN1009317,2023-03-05 10:14:00,10,72.66,Fashion,US,prepaid_card,Discover,mobile,Chrome,3650,3,2,0,130,icloud.com,0,0
TXN1000039,2023-06-07 11:23:00,11,240.69,Gift Cards,FR,credit_card,Visa,desktop,Chrome,5,6,4,0,2,hotmail.com,1,1
TXN1004819,2023-01-10 15:29:00,15,207.56,Electronics,US,digital_wallet,Discover,desktop,Safari,61,2,2,0,151,icloud.com,0,0
TXN1003465,2023-10-22 19:58:00,19,208.77,Travel,NG,prepaid_card,Amex,mobile,Chrome,2776,2,4,0,81,outlook.com,0,0
TXN1001760,2023-12-05 11:58:00,11,51.06,Fashion,FR,credit_card,Mastercard,mobile,Safari,765,1,3,0,61,icloud.com,0,0
TXN1002304,2023-10-08 14:26:00,14,566.47,Travel,FR,debit_card,Amex,mobile,Firefox,268,2,4,0,107,hotmail.com,0,0
TXN1003723,2023-04-05 22:49:00,22,3649.07,Travel,IN,debit_card,Amex,mobile,Chrome,5,1,3,0,109,hotmail.com,0,0
TXN1008284,2023-06-02 14:56:00,14,118.73,Fashion,RU,debit_card,Discover,mobile,Chrome,199,1,1,1,116,gmail.com,0,0
TXN1004993,2023-03-06 10:57:00,10,48.8,Gaming,IN,debit_card,Amex,desktop,Chrome,309,2,1,0,32,outlook.com,0,0
TXN1008127,2023-09-11 11:23:00,11,73.59,Gaming,US,debit_card,Amex,desktop,Safari,814,2,7,0,76,icloud.com,0,0
TXN1003032,2023-09-26 17:21:00,17,227.15,Electronics,IN,digital_wallet,Mastercard,mobile,Chrome,334,1,2,0,75,outlook.com,0,0
TXN1007938,2023-05-28 09:29:00,9,55.2,Fashion,FR,credit_card,Mastercard,desktop,Chrome,948,1,1,0,100,yahoo.com,0,0
TXN1003039,2023-06-26 10:23:00,10,1630.45,Luxury,US,credit_card,Amex,desktop,Chrome,600,1,1,0,155,outlook.com,0,0
TXN1009655,2023-05-22 15:49:00,15,30.74,Gift Cards,CN,debit_card,Visa,mobile,Firefox,777,1,2,0,133,hotmail.com,0,0
TXN1002545,2023-02-14 11:36:00,11,344.09,Travel,US,prepaid_card,Discover,mobile,Chrome,1640,2,4,0,121,icloud.com,0,0
TXN1002592,2023-09-24 16:33:00,16,62.1,Fashion,US,digital_wallet,Visa,mobile,Chrome,127,1,2,0,90,hotmail.com,0,0
TXN1001188,2023-02-26 13:33:00,13,785.13,Luxury,UK,credit_card,Mastercard,desktop,Chrome,713,3,2,0,100,hotmail.com,0,0
TXN1007966,2023-05-26 19:25:00,19,517.75,Travel,US,credit_card,Mastercard,mobile,Unknown,587,1,1,0,114,outlook.com,0,0
TXN1006077,2023-06-08 11:39:00,11,79.48,Fashion,IN,debit_card,Visa,desktop,Chrome,1164,2,3,0,127,outlook.com,0,0
TXN1000107,2023-02-08 11:30:00,11,175.48,Fashion,CN,prepaid_card,Mastercard,desktop,Chrome,40,6,2,0,2,outlook.com,0,1
TXN1001315,2023-05-25 15:20:00,15,134.39,Software,UK,digital_wallet,Mastercard,desktop,Edge,537,2,1,0,110,gmail.com,0,0
TXN1008187,2023-08-08 19:20:00,19,1254.3,Travel,US,digital_wallet,Amex,desktop,Chrome,71,1,1,0,141,yahoo.com,0,0
TXN1002753,2023-01-04 08:24:00,8,658.42,Electronics,US,credit_card,Discover,mobile,Chrome,657,1,3,1,114,gmail.com,0,0
TXN1009753,2023-01-15 18:50:00,18,415.19,Electronics,CN,debit_card,Amex,mobile,Firefox,366,1,2,0,70,gmail.com,0,0
TXN1006231,2023-11-27 19:28:00,19,76.88,Fashion,US,credit_card,Visa,desktop,Edge,554,1,2,0,79,icloud.com,0,0
TXN1002876,2023-03-09 13:31:00,13,86.16,Electronics,US,credit_card,Mastercard,desktop,Firefox,734,1,4,1,49,gmail.com,0,0
TXN1005323,2023-10-02 16:09:00,16,57.68,Fashion,US,digital_wallet,Mastercard,tablet,Safari,182,2,1,1,66,outlook.com,0,0
TXN1000799,2023-05-08 11:36:00,11,508.36,Travel,US,debit_card,Amex,desktop,Unknown,641,1,2,0,92,yahoo.com,0,0
TXN1003570,2023-12-01 09:55:00,9,240.91,Electronics,DE,debit_card,Discover,tablet,Chrome,510,2,4,0,74,yahoo.com,0,0
TXN1002894,2023-07-21 06:07:00,6,1009.79,Luxury,IN,credit_card,Visa,desktop,Chrome,1894,1,1,0,123,outlook.com,1,0
TXN1002927,2023-07-28 15:23:00,15,20.2,Gift Cards,CN,digital_wallet,Amex,mobile,Edge,388,1,1,0,126,gmail.com,0,0
TXN1008178,2023-10-30 09:21:00,9,97.53,Software,CN,credit_card,Amex,mobile,Edge,175,1,1,1,103,outlook.com,0,0
TXN1000971,2023-06-26 21:05:00,21,90.61,Fashion,FR,credit_card,Mastercard,desktop,Chrome,1056,3,3,0,103,icloud.com,0,0
TXN1006687,2023-07-20 14:33:00,14,84.23,Gaming,FR,credit_card,Visa,mobile,Firefox,109,2,1,0,47,hotmail.com,0,0
TXN1008575,2023-06-28 11:19:00,11,37.07,Fashion,BR,credit_card,Mastercard,mobile,Chrome,379,1,2,0,93,gmail.com,0,0
TXN1002020,2023-06-14 19:49:00,19,33.4,Gaming,BR,debit_card,Mastercard,desktop,Chrome,176,1,1,0,137,yahoo.com,0,0
TXN1009054,2023-01-05 14:27:00,14,121.68,Travel,UK,debit_card,Visa,desktop,Chrome,20,1,1,1,31,hotmail.com,0,0
TXN1000952,2023-04-25 10:09:00,10,151.98,Fashion,UK,credit_card,Mastercard,desktop,Edge,370,1,4,0,89,icloud.com,0,0
TXN1005359,2023-10-14 19:04:00,19,285.64,Electronics,US,credit_card,Discover,tablet,Chrome,472,1,3,0,80,icloud.com,0,0
TXN1003857,2023-10-29 15:35:00,15,180.47,Fashion,FR,digital_wallet,Visa,mobile,Unknown,302,1,3,0,53,hotmail.com,0,0
TXN1005861,2023-05-16 14:50:00,14,73.78,Gaming,CN,debit_card,Visa,tablet,Chrome,478,1,1,0,114,hotmail.com,0,0
TXN1003145,2023-11-10 12:12:00,12,208.3,Electronics,FR,credit_card,Discover,desktop,Safari,140,1,4,0,47,gmail.com,0,0
TXN1003305,2023-02-03 08:03:00,8,96.06,Gaming,DE,debit_card,Amex,desktop,Chrome,1328,4,1,0,91,gmail.com,0,0
TXN1003006,2023-05-30 13:40:00,13,130.77,Gaming,RU,debit_card,Discover,mobile,Safari,112,1,1,0,108,icloud.com,0,0
TXN1009001,2023-03-31 12:51:00,12,31.4,Electronics,BR,debit_card,Visa,mobile,Chrome,243,1,1,0,75,gmail.com,0,0
TXN1007770,2023-04-17 11:25:00,11,140.26,Jewelry,IN,debit_card,Mastercard,desktop,Chrome,307,1,1,0,96,yahoo.com,0,0
TXN1007438,2023-07-31 12:22:00,12,83.76,Fashion,IN,credit_card,Visa,desktop,Edge,1027,1,1,0,122,gmail.com,0,0
TXN1007942,2023-06-27 13:03:00,13,47.63,Gift Cards,FR,digital_wallet,Amex,desktop,Safari,178,1,2,0,93,gmail.com,0,0
TXN1009238,2023-08-07 15:39:00,15,35.89,Gift Cards,US,credit_card,Amex,desktop,Edge,89,1,1,0,113,gmail.com,0,0
TXN1001056,2023-03-03 14:17:00,14,76.81,Gaming,UK,credit_card,Mastercard,desktop,Chrome,986,2,1,0,129,outlook.com,0,0
TXN1003154,2023-05-21 06:34:00,6,62.79,Fashion,US,credit_card,Mastercard,mobile,Chrome,1674,1,1,0,109,icloud.com,0,0
TXN1003787,2023-02-12 17:52:00,17,224.32,Travel,IN,credit_card,Discover,mobile,Chrome,1169,1,1,0,152,hotmail.com,0,0
TXN1009189,2023-06-16 15:36:00,15,667.81,Luxury,IN,credit_card,Amex,desktop,Chrome,2845,1,1,0,87,hotmail.com,0,0
TXN1007825,2023-08-17 10:17:00,10,43.15,Fashion,CN,credit_card,Visa,mobile,Chrome,1284,1,1,0,50,gmail.com,0,0
TXN1007539,2023-01-31 21:50:00,21,349.63,Travel,US,digital_wallet,Visa,mobile,Chrome,254,3,3,0,155,gmail.com,0,0
TXN1007231,2023-06-07 14:43:00,14,48.68,Gift Cards,IN,credit_card,Discover,mobile,Chrome,362,1,4,0,130,outlook.com,0,0
TXN1000764,2023-01-07 18:07:00,18,87.75,Fashion,US,prepaid_card,Mastercard,desktop,Chrome,558,1,2,0,67,yahoo.com,0,0
TXN1005019,2023-08-02 13:49:00,13,781.14,Jewelry,NG,credit_card,Visa,mobile,Chrome,332,1,6,0,70,hotmail.com,0,0
TXN1004903,2023-05-26 09:00:00,9,140.88,Electronics,DE,debit_card,Amex,desktop,Chrome,332,2,1,0,126,gmail.com,0,0
TXN1008093,2023-06-29 10:14:00,10,112.21,Electronics,US,credit_card,Discover,mobile,Chrome,547,2,1,0,120,icloud.com,0,0
TXN1006843,2023-02-08 15:52:00,15,31.57,Gaming,UK,credit_card,Amex,mobile,Safari,589,3,3,0,93,yahoo.com,0,0
TXN1002165,2023-04-15 22:58:00,22,1072.97,Luxury,US,debit_card,Amex,desktop,Chrome,193,1,2,0,120,icloud.com,0,0
TXN1001862,2023-12-22 17:51:00,17,1940.93,Travel,US,credit_card,Visa,mobile,Edge,76,1,3,0,93,gmail.com,0,0
TXN1007850,2023-12-14 07:38:00,7,52.14,Fashion,BR,prepaid_card,Discover,desktop,Chrome,593,2,1,0,164,outlook.com,0,0
TXN1009123,2023-04-30 22:58:00,22,96.37,Fashion,FR,credit_card,Discover,desktop,Firefox,439,2,2,0,112,icloud.com,0,0
TXN1002340,2023-11-28 09:48:00,9,38.09,Gift Cards,FR,credit_card,Amex,desktop,Chrome,246,1,2,0,87,gmail.com,1,0
TXN1005527,2023-04-16 17:22:00,17,40.59,Fashion,RU,prepaid_card,Visa,mobile,Safari,568,1,1,0,57,gmail.com,0,0
TXN1006743,2023-06-11 15:53:00,15,197.08,Electronics,FR,credit_card,Mastercard,desktop,Chrome,1220,1,2,0,105,hotmail.com,0,0
TXN1004003,2023-05-13 11:17:00,11,138.99,Gaming,US,digital_wallet,Amex,mobile,Unknown,1087,1,2,0,80,outlook.com,0,0
TXN1001123,2023-03-31 10:53:00,10,44.52,Fashion,DE,debit_card,Mastercard,mobile,Safari,132,1,2,0,121,yahoo.com,0,0
TXN1008709,2023-02-13 21:20:00,21,102.77,Gaming,UK,credit_card,Discover,desktop,Safari,62,3,2,0,54,icloud.com,0,0
TXN1004049,2023-01-07 11:56:00,11,38.93,Gift Cards,BR,credit_card,Mastercard,desktop,Safari,1328,4,1,0,146,yahoo.com,0,0
TXN1007640,2023-06-13 12:56:00,12,519.97,Electronics,RU,digital_wallet,Discover,mobile,Firefox,288,1,2,0,74,gmail.com,0,0
TXN1000765,2023-08-15 12:15:00,12,104.43,Electronics,RU,debit_card,Mastercard,mobile,Safari,488,1,1,0,93,gmail.com,0,0
TXN1002344,2023-10-06 13:17:00,13,22.06,Fashion,US,credit_card,Amex,desktop,Firefox,360,4,2,0,111,yahoo.com,0,0
TXN1004071,2023-12-17 13:36:00,13,128.93,Travel,DE,credit_card,Visa,tablet,Unknown,293,2,2,0,100,hotmail.com,0,0
TXN1007216,2023-05-09 14:31:00,14,37.02,Fashion,UK,digital_wallet,Amex,mobile,Chrome,27,3,1,0,145,gmail.com,0,0
TXN1004216,2023-11-01 11:39:00,11,208.93,Electronics,DE,digital_wallet,Mastercard,desktop,Chrome,527,1,3,0,203,icloud.com,0,0
TXN1007952,2023-04-06 17:11:00,17,172.43,Gaming,US,credit_card,Discover,tablet,Safari,339,1,1,1,96,outlook.com,0,0
TXN1005970,2023-05-12 11:54:00,11,55.13,Software,IN,debit_card,Discover,desktop,Chrome,629,1,3,0,163,icloud.com,0,0
TXN1003350,2023-05-21 12:21:00,12,292.54,Travel,CN,debit_card,Mastercard,mobile,Chrome,114,2,4,0,141,gmail.com,0,0
TXN1004695,2023-10-30 17:29:00,17,43.57,Software,FR,credit_card,Mastercard,desktop,Safari,440,1,2,0,104,hotmail.com,0,0
TXN1003399,2023-04-25 17:00:00,17,324.07,Electronics,US,debit_card,Visa,mobile,Safari,792,1,1,1,104,icloud.com,0,0
TXN1004081,2023-02-15 17:26:00,17,70.07,Gaming,US,digital_wallet,Mastercard,mobile,Safari,219,2,3,0,130,outlook.com,0,0
TXN1009149,2023-09-02 09:35:00,9,61.55,Gaming,US,credit_card,Amex,desktop,Edge,1299,1,1,0,121,icloud.com,1,0
TXN1001224,2023-12-12 13:13:00,13,182.1,Travel,RU,credit_card,Visa,desktop,Chrome,395,1,3,0,50,icloud.com,0,0
TXN1006292,2023-07-10 12:52:00,12,63.17,Gaming,UK,digital_wallet,Amex,mobile,Chrome,1867,1,2,0,122,gmail.com,0,0
TXN1003122,2023-05-26 19:02:00,19,275.96,Travel,US,digital_wallet,Discover,desktop,Chrome,513,2,2,0,36,hotmail.com,0,0
TXN1000510,2023-07-03 09:45:00,9,22.98,Fashion,FR,debit_card,Discover,desktop,Chrome,177,1,1,0,54,yahoo.com,1,0
TXN1005794,2023-04-02 07:24:00,7,46.2,Gift Cards,UK,debit_card,Visa,desktop,Chrome,539,1,2,0,175,gmail.com,1,0
TXN1008181,2023-05-10 08:35:00,8,421.92,Travel,FR,debit_card,Amex,desktop,Safari,865,1,2,0,89,hotmail.com,0,0
TXN1009417,2023-01-16 10:05:00,10,75.88,Gaming,BR,credit_card,Visa,desktop,Safari,1840,1,2,0,101,icloud.com,0,0
TXN1000096,2023-01-01 06:42:00,6,259.12,Gift Cards,UK,debit_card,Visa,mobile,Chrome,57,4,2,0,11,throwam.com,1,1
TXN1006681,2023-11-10 12:49:00,12,954.3,Travel,BR,debit_card,Mastercard,mobile,Chrome,39,1,2,0,67,outlook.com,0,0
TXN1001512,2023-07-04 14:02:00,14,338.71,Travel,DE,credit_card,Amex,mobile,Chrome,114,2,1,0,82,yahoo.com,0,0
TXN1008791,2023-09-06 18:18:00,18,980.11,Luxury,US,credit_card,Amex,desktop,Chrome,96,4,4,0,79,outlook.com,0,0
TXN1000119,2023-06-17 02:47:00,2,114.42,Travel,FR,prepaid_card,Discover,mobile,Unknown,1,8,5,1,12,throwam.com,0,1
TXN1007791,2023-12-07 20:51:00,20,69.79,Gaming,US,debit_card,Mastercard,mobile,Safari,1431,2,4,0,140,hotmail.com,0,0
TXN1006517,2023-10-13 07:30:00,7,317.84,Travel,US,prepaid_card,Visa,tablet,Chrome,240,4,2,0,76,hotmail.com,1,0
TXN1000033,2023-03-09 02:59:00,2,170.72,Travel,IN,prepaid_card,Visa,mobile,Safari,1,9,5,1,21,guerrillamail.com,1,1
TXN1007887,2023-10-02 14:29:00,14,52.11,Gaming,IN,debit_card,Amex,mobile,Chrome,725,1,1,0,76,yahoo.com,0,0
TXN1006830,2023-03-01 10:52:00,10,53.83,Fashion,US,credit_card,Discover,tablet,Chrome,48,1,1,0,60,icloud.com,0,0
TXN1005421,2023-03-13 11:02:00,11,446.81,Electronics,US,debit_card,Mastercard,tablet,Firefox,362,1,4,0,87,hotmail.com,0,0
TXN1001068,2023-04-10 10:07:00,10,117.77,Electronics,IN,debit_card,Amex,mobile,Chrome,53,2,2,0,66,outlook.com,0,0
TXN1001347,2023-04-14 21:18:00,21,113.93,Gaming,IN,credit_card,Visa,mobile,Chrome,238,1,2,0,94,outlook.com,0,0
TXN1004747,2023-03-28 17:18:00,17,350.43,Travel,UK,debit_card,Mastercard,mobile,Unknown,377,1,2,0,127,outlook.com,0,0
TXN1006005,2023-04-21 15:19:00,15,963.06,Luxury,US,credit_card,Mastercard,tablet,Chrome,766,1,1,0,140,icloud.com,0,0
TXN1006039,2023-11-10 09:54:00,9,519.62,Jewelry,UK,credit_card,Mastercard,desktop,Chrome,191,2,3,0,127,outlook.com,0,0
TXN1003817,2023-08-22 17:18:00,17,156.0,Fashion,IN,credit_card,Discover,mobile,Safari,119,2,1,0,118,yahoo.com,0,0
TXN1008446,2023-02-18 13:03:00,13,560.32,Luxury,FR,prepaid_card,Mastercard,desktop,Firefox,10,1,4,0,122,gmail.com,0,0
TXN1005269,2023-07-25 13:49:00,13,311.02,Electronics,UK,credit_card,Mastercard,tablet,Safari,56,1,3,0,7,icloud.com,0,0
TXN1006897,2023-02-05 12:12:00,12,32.55,Fashion,US,debit_card,Visa,desktop,Safari,625,1,1,0,75,hotmail.com,0,0
TXN1005309,2023-09-27 12:58:00,12,31.55,Gaming,FR,debit_card,Visa,mobile,Chrome,212,2,3,0,114,outlook.com,0,0
TXN1000031,2023-04-15 02:42:00,2,93.92,Jewelry,NG,debit_card,Discover,mobile,Unknown,25,5,2,1,2,10minutemail.com,1,1
TXN1005674,2023-08-11 14:49:00,14,128.72,Travel,UK,debit_card,Discover,desktop,Chrome,78,1,1,0,126,gmail.com,0,0
TXN1004386,2023-04-20 11:00:00,11,69.73,Fashion,UK,credit_card,Visa,mobile,Chrome,95,1,3,0,114,outlook.com,0,0
TXN1000029,2023-04-06 06:04:00,6,968.17,Electronics,FR,prepaid_card,Amex,mobile,Firefox,76,4,5,1,2,yahoo.com,1,1
TXN1004202,2023-05-15 15:35:00,15,198.07,Gaming,BR,credit_card,Mastercard,mobile,Chrome,936,1,7,0,9,outlook.com,0,0
TXN1007507,2023-11-11 09:59:00,9,634.34,Electronics,UK,digital_wallet,Amex,mobile,Chrome,504,2,4,0,65,hotmail.com,0,0
TXN1000735,2023-12-25 15:47:00,15,269.27,Travel,US,debit_card,Amex,desktop,Edge,1733,3,1,0,45,yahoo.com,0,0
TXN1002067,2023-01-05 15:31:00,15,64.62,Software,FR,credit_card,Visa,mobile,Firefox,973,1,1,0,131,yahoo.com,0,0
TXN1000106,2023-08-14 17:06:00,17,51.87,Gift Cards,US,digital_wallet,Amex,mobile,Unknown,108,11,1,1,2,guerrillamail.com,1,1
TXN1009644,2023-11-21 19:59:00,19,120.4,Gaming,US,credit_card,Amex,mobile,Safari,308,1,2,0,79,hotmail.com,0,0
TXN1008894,2023-04-18 12:04:00,12,655.87,Luxury,US,digital_wallet,Visa,desktop,Firefox,330,1,2,0,119,gmail.com,0,0
TXN1008020,2023-09-10 20:38:00,20,86.24,Gaming,RU,credit_card,Discover,mobile,Chrome,321,1,2,0,90,yahoo.com,0,0
TXN1002232,2023-03-15 14:02:00,14,233.55,Travel,US,debit_card,Mastercard,desktop,Chrome,2819,2,1,0,102,yahoo.com,0,0
TXN1000993,2023-08-29 16:36:00,16,115.88,Fashion,UK,digital_wallet,Mastercard,mobile,Chrome,722,4,1,0,59,outlook.com,0,0
TXN1009412,2023-07-19 12:02:00,12,121.98,Electronics,US,debit_card,Amex,desktop,Chrome,501,1,1,0,101,outlook.com,0,0
TXN1007058,2023-01-06 15:06:00,15,521.39,Travel,UK,debit_card,Visa,mobile,Chrome,17,2,1,0,80,gmail.com,0,0
TXN1006789,2023-08-23 12:01:00,12,72.23,Fashion,US,prepaid_card,Amex,desktop,Edge,1627,3,3,0,121,outlook.com,0,0
TXN1000360,2023-07-03 13:49:00,13,1169.36,Travel,US,credit_card,Visa,mobile,Chrome,1104,2,1,0,95,hotmail.com,0,0
TXN1000304,2023-06-25 07:41:00,7,212.39,Electronics,NG,digital_wallet,Amex,mobile,Safari,20,1,4,1,3,yahoo.com,1,1
TXN1002627,2023-05-11 16:07:00,16,107.16,Software,US,credit_card,Visa,desktop,Chrome,82,1,4,0,149,outlook.com,0,0
TXN1008965,2023-02-09 10:20:00,10,98.93,Gift Cards,CN,credit_card,Discover,mobile,Safari,269,1,2,0,126,icloud.com,0,0
TXN1004513,2023-01-13 08:06:00,8,76.81,Fashion,DE,debit_card,Visa,tablet,Chrome,882,1,3,0,111,hotmail.com,0,0
TXN1005910,2023-03-27 18:44:00,18,318.55,Travel,US,digital_wallet,Mastercard,desktop,Safari,877,2,4,0,65,icloud.com,0,0
TXN1008313,2023-02-15 14:15:00,14,68.67,Fashion,FR,prepaid_card,Visa,mobile,Chrome,76,2,2,0,107,gmail.com,0,0
TXN1003100,2023-10-30 17:19:00,17,130.68,Fashion,DE,prepaid_card,Amex,desktop,Firefox,540,2,1,0,45,hotmail.com,0,0
TXN1005703,2023-02-26 07:56:00,7,130.45,Gaming,UK,prepaid_card,Discover,desktop,Chrome,642,1,4,0,65,gmail.com,0,0
TXN1003898,2023-12-24 20:23:00,20,85.7,Software,UK,debit_card,Mastercard,mobile,Chrome,2726,2,4,0,96,gmail.com,1,0
TXN1005440,2023-08-25 18:35:00,18,259.28,Jewelry,FR,debit_card,Amex,tablet,Chrome,41,2,1,0,100,gmail.com,0,0
TXN1007930,2023-10-17 13:38:00,13,159.19,Electronics,DE,credit_card,Discover,mobile,Safari,12,1,1,0,114,gmail.com,0,0
TXN1000621,2023-02-25 16:11:00,16,262.39,Jewelry,US,digital_wallet,Visa,desktop,Safari,1621,1,3,0,82,gmail.com,0,0
TXN1007235,2023-02-02 14:02:00,14,967.84,Luxury,UK,credit_card,Visa,desktop,Safari,336,2,2,0,59,icloud.com,0,0
TXN1002498,2023-03-01 10:28:00,10,73.29,Fashion,FR,digital_wallet,Amex,mobile,Safari,485,1,1,0,77,yahoo.com,0,0
